status,valenciana,borja
"anuncio de servicio publico! a partir del 5 de octubre, mill trails en borja estará cerrada por mantenimiento todas las rutas están cerradas",0,0
todas las rutas están abiertas excepto the holler,1,1
todas las rutas están cerradas en valenciana y borja por condiciones húmedas,0,0
todas las rutas están cerradas,0,0
valenciana está abierta a excepción de holler borja está cerrada,1,0
todas las rutas están cerradas debido a condiciones de humedad y congelación,0,0
todas las rutas están abiertas excepto quehl holler,1,1
"todas las rutas están abiertas, las mantas estarán cerradas el sábado 3/28 hasta el mediodía",1,1
¡todas las rutas están abiertas!,1,1
todas las rutas están cerradas en los parques de valenciana y rope park debido a las condiciones de humedad,0,0
valenciana estará cerrada el domingo 22 de enero para una cacería de ciervos patrocinada por cherokee parks and rec borja está cerrada debido a las condiciones de humedad,0,1
todas las rutas están abiertas valenciana estará cerrada el sábado 3 de junio para la carrera de 6 horas,1,1
todas las rutas están abiertas excepto el grito,1,1
valenciana está abierta borja está cerrada debido a las condiciones de humedad,1,0
todas las rutas están cerradas,0,0
todas las rutas están cerradas debido a las condiciones de lluvia,0,0
el parque borja está abierta valenciana está abierta (excepto west side of mosquito flats),1,0
todas las rutas están abiertas en los parques de valenciana y borja,1,1
valenciana está abierta excepto south loop y mf entre la entrada hh y vmt,1,0
"valenciana está abierta, excepto the holler borja está abierta",1,0
¡todas las rutas están cerradas! la nieve se convirtió en aguanieve ¡todos los caminos cerradas!,0,0
todas las rutas están abiertas,1,1
todas las rutas están abiertas en valenciana y borja las mantas estarán cerradas el sábado 2 de abril por una carrera hasta primeras horas de la tarde,1,1
todas las rutas están cerradas debido a las condiciones de humedad,0,0
todas las rutas están cerradas,0,0
todas las rutas están cerradas por condiciones húmedas,0,0
"todas las rutas están abiertas, excepto la picadura de mosquito",1,1
todas las rutas están cerradas debido a condiciones húmedas,0,0
todas las rutas están abiertas borja estará cerrada el sábado 10 de junio por la mañana debido a una carrera,1,1
todas las rutas están cerradas evaluaremos mañana por la tarde,0,0
todas las rutas están cerradas debido a condiciones extremadamente peligrosas de árboles caídos y suelo sobresaturado,0,0
todas las rutas están cerradas en valenciana y borja debido a las condiciones de congelación/descongelación del suelo,0,0
todas las rutas están cerradas por condiciones húmedas,0,0
todas las rutas están cerradas debido a las condiciones de congelación y descongelación,0,0
"borja permanece cerrada todas las rutas están abiertas en valenciana, pero esté atento a un cambio de ruta temporal cerca de kv pass en vmt",1,1
"todas las rutas están abiertas, excepto quehl holler",1,1
mantas creek está abierta borja está cerrada,0,1
todas las rutas están abiertas,1,1
todas las rutas están abiertas esté atento a árboles y ramas caídos tenga cuidado en el sendero rock and roll debido al trabajo reciente,1,1
valenciana está abierta el sábado 4/20 solo para la carrera borja permanece cerrada haremos una evaluación al mediodía según las condiciones del sendero,1,0
todas las rutas están cerradas anuncio de servicio publico! pedalpalooza ha sido reprogramado para el 16 de octubre,0,0
todas las rutas están cerradas debido a las condiciones de humedad,0,0
"las rutas de valenciana están abiertas, excepto quehl holler y algunos de mosquito flats borja está cerrada",0,1
todas las rutas están abiertas en los parques valenciana y borja la turbina estará cerrada por mantenimiento a partir del martes 15 de febrero,1,1
todas las rutas están abiertas valenciana estará cerrada por una carrera el sábado 5 de septiembre hasta las 4 p m,1,1
las rutas en valenciana están abiertas quehl holler está cerrada borja está cerrada,0,1
todas las rutas están cerradas debido a condiciones desagradables,0,0
las rutas en valenciana están abiertas borja está cerrada debido a la caída de un árbol en las líneas eléctricas,0,1
¡todas las rutas están cerradas!,0,0
todas las rutas están abiertas excepto south loop,1,1
